Brand,Interval_Week,Sample_Count,Avg_MPI,Sigma_Randomness,Avg_Heat
Vivo,35,117.0,0.3990116811110678,0.13862426279664725,0.12626829292848069
Vivo,36,86.0,0.3735075302985172,0.14860077103194477,0.20451910969216464
Vivo,37,99.0,0.3807139904661612,0.14992595520495355,0.18191212524819855
Vivo,38,79.0,0.3649610434599881,0.1698392951258183,0.22446739786787878
Vivo,39,54.0,0.40995932977508615,0.14470189767896488,0.2661304537344862
Vivo,40,54.0,0.41897784135545846,0.13707288477397006,0.20911147445440292
Vivo,41,70.0,0.39166996646672486,0.15526836886034995,0.09633853039039032
Vivo,42,54.0,0.40113211050629616,0.1487332440640724,0.25226221992461767
Vivo,43,60.0,0.3853299996505181,0.1580005779618806,0.07066263556480407
Vivo,44,68.0,0.40198221057653427,0.13153169023075229,0.08167513448964148
Vivo,45,41.0,0.420826264634365,0.11874577900516786,0.19904620332143655
Vivo,46,47.0,0.3861660618097224,0.1609377657366798,0.036131842497815474
Vivo,47,50.0,0.37288236401975156,0.15790204525761853,0.18467958621680736
Vivo,48,43.0,0.4375846898832986,0.09477458281039139,0.021086427794639453
Vivo,49,40.0,0.40055634481832386,0.1428125940082137,0.09371549729257822
Vivo,50,44.0,0.4050102565776218,0.1491122031691543,0.1872505182823674
Vivo,51,51.0,0.4038677769256573,0.12929532728319104,-0.047685488437612854
Vivo,52,37.0,0.3825868803101617,0.1547901316674508,0.1038791172810503
Vivo,53,23.0,0.37855099919049634,0.15887875466780751,0.29899337920157804
Vivo,54,14.0,0.3870827427932194,0.17718615128452683,0.1090574541262218
Vivo,55,28.0,0.44527957535215784,0.11935455968017437,0.20802905916103295
Vivo,56,19.0,0.44969887874628367,0.12085600801474619,0.20626478583404892
Vivo,57,24.0,0.3261135521655281,0.16582039131386206,0.056635152858992406
Vivo,58,31.0,0.3834427829471327,0.14532328734476244,0.13772508243639622
Vivo,59,26.0,0.34667546001191324,0.15556432517132587,0.23010548175527498
Vivo,60,10.0,0.34509332329034803,0.20100454350691888,0.30047056302428243
Vivo,61,19.0,0.3874924116228756,0.12586800596292264,0.2545162436405295
Vivo,62,20.0,0.360958757949993,0.16999968153586043,0.1944568794220686
Vivo,63,23.0,0.3902105468770732,0.17537600587493438,0.1595655355764472
Vivo,64,26.0,0.43955595734027714,0.12236645757484854,0.18799934192345694
Vivo,65,26.0,0.3255056059704377,0.20163198526942633,0.288398135596743
Vivo,66,14.0,0.37963116115757395,0.16426099728839502,0.1033537217548915
Vivo,67,23.0,0.42508694821077847,0.13413231442986556,-0.010405398419369827
Vivo,68,17.0,0.3853381236686426,0.12507814944191295,0.1310855847071199
Vivo,69,15.0,0.2941716216504574,0.20915292549631312,0.19004396498203277
Vivo,70,18.0,0.3413183143776324,0.1949219357245008,0.1626466169125504
Vivo,71,20.0,0.3593835934996605,0.16590681653787023,0.222554811835289
Vivo,72,33.0,0.4427536552715482,0.10976693216815751,-0.03958943181417205
Vivo,73,48.0,0.42140387184917927,0.0666201330941925,0.051615144203727446
Vivo,74,29.0,0.371220414494646,0.15450206077719925,0.33918837669851454
Vivo,75,27.0,0.3766585457380171,0.11519264599346299,0.11673874752940955
Vivo,76,35.0,0.37294430775301796,0.13918171763916404,0.17759813080940928
Vivo,77,29.0,0.44508362972530824,0.13505443791068883,0.1998260752137365
Vivo,78,29.0,0.37148049627912455,0.16205183483295116,0.06644729550542502
Vivo,79,42.0,0.37909955841799575,0.1690748524392051,0.06911584539782432
Vivo,80,51.0,0.36368467300838114,0.1527002604693839,0.09842629310693227
Vivo,81,46.0,0.33659582303674973,0.16682597832696805,0.014945327344795922
Vivo,82,46.0,0.3915020175602125,0.12217165648959653,0.12112905222760595
Vivo,83,32.0,0.3937062439508736,0.14548370937752783,0.11390547652263194
Vivo,84,29.0,0.4060894500078826,0.11518288794022864,0.22561661860552323
Vivo,85,23.0,0.4185949823130732,0.11506296705929192,-0.0817605035946421
Vivo,86,24.0,0.3072350756265223,0.18117866361261561,0.1606993783886234
Vivo,87,82.0,0.3638097177736643,0.1400173427036053,0.2292862255126238
Vivo,88,38.0,0.35215011930191203,0.14107712254926283,0.162272491541348
Vivo,89,53.0,0.3947850720218892,0.12180936396108663,0.1652017047031308
Vivo,90,29.0,0.3518547337373783,0.1792459786114338,-0.06555755667645356
Vivo,91,37.0,0.36135207755944215,0.1526959268076117,0.05537537903197714
Vivo,92,33.0,0.37526538426225836,0.1605368553427857,0.15403291255687224
Vivo,93,40.0,0.3695103126578033,0.157999130629346,0.1362418810836971
Vivo,94,27.0,0.39680633086849143,0.14413990467755708,0.058156437481994984
Vivo,95,37.0,0.3088861361548707,0.15781296146883692,0.23382730238340996
Vivo,96,32.0,0.335840858053416,0.14548133140798264,0.30938902718480676
Vivo,97,31.0,0.34439800529470366,0.1375680460452202,-0.0011834690888081827
Vivo,98,28.0,0.2846340115169629,0.16309269873508692,0.15264291755322898
Vivo,99,41.0,0.40408261701828097,0.09907948636844235,-0.09006332206289942
Vivo,100,24.0,0.3898375794912378,0.15182865512229857,0.14574963351090747
